hersteller,modell,generation,fahrzeugbezeichnung,baujahr,kraftstoffart,verbrauch_l_pro_100_km,tankgroesse_1,adac_url,adac_modell_url,adac_generation_url
Mazda,CX-80,KL,Mazda CX-80 3.3 e-Skyactiv D 254 Takumi Plus AWD Automatik (10/24 - 11/25),2024,Diesel,5.8,74.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/334518/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,CX-80,KL,Mazda CX-80 3.3 e-Skyactiv D 254 Homura AWD Automatik (10/24 - 11/25),2024,Diesel,5.7,74.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/334515/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,CX-80,KL,Mazda CX-80 3.3 e-Skyactiv D 254 Takumi Plus AWD Automatik (ab 11/25),2025,Diesel,5.6,74.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/346725/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,CX-80,KL,Mazda CX-80 3.3 e-Skyactiv D 254 Takumi AWD Automatik (10/24 - 11/25),2024,Diesel,5.8,74.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/334517/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,CX-80,KL,Mazda CX-80 3.3 e-Skyactiv D 254 Exclusive-Line AWD Automatik (ab 11/25),2025,Diesel,5.6,74.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/346721/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,CX-80,KL,Mazda CX-80 2.5 e-Skyactiv PHEV Takumi Plus AWD Automatik (10/24 - 11/25),2024,Super / Strom,1.6,70.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/334514/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,CX-80,KL,Mazda CX-80 2.5 e-Skyactiv PHEV Takumi Plus AWD Automatik (ab 11/25),2025,Super / Strom,4.0,70.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/346720/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,CX-80,KL,Mazda CX-80 2.5 e-Skyactiv PHEV Exclusive-Line AWD Automatik (10/24 - 11/25),2024,Super / Strom,1.6,70.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/334509/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,CX-80,KL,Mazda CX-80 2.5 e-Skyactiv PHEV Exclusive-Line AWD Automatik (ab 11/25),2025,Super / Strom,4.0,70.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/346716/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,CX-80,KL,Mazda CX-80 2.5 e-Skyactiv PHEV Takumi AWD Automatik (10/24 - 11/25),2024,Super / Strom,1.6,70.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/334513/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,CX-80,KL,Mazda CX-80 3.3 e-Skyactiv D 254 Homura Plus AWD Automatik (ab 11/25),2025,Diesel,5.6,74.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/346724/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,CX-80,KL,Mazda CX-80 2.5 e-Skyactiv PHEV Homura AWD Automatik (ab 11/25),2025,Super / Strom,4.0,70.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/346717/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,CX-80,KL,Mazda CX-80 2.5 e-Skyactiv PHEV Homura AWD Automatik (10/24 - 11/25),2024,Super / Strom,1.6,70.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/334511/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
Mazda,CX-80,KL,Mazda CX-80 3.3 e-Skyactiv D 254 Takumi AWD Automatik (ab 11/25),2025,Diesel,5.6,74.0,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/346723/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/,https://www.adac.de/rund-ums-fahrzeug/autokatalog/marken-modelle/mazda/cx-80/kl/
